Orbit Number,z0,Alpha1,Alpha2,Deviation Max
1,0.0,0.6619421983068913,0.3301054542418741,0.06104276274135939
2,0.001,0.6439872485316223,0.3198738710827382,0.06197591492857334
3,0.002,0.6490310742030725,0.3213051240321275,0.061758051889526905
4,0.003,0.6668256993770233,0.3325547959577966,0.06077306177636191
5,0.004,0.6638215958522239,0.3268975647386409,0.06098984165749456
6,0.005,0.6683197926329443,0.3296779400204771,0.06066040028149095
7,0.006,0.6665742504773693,0.3316209823823061,0.06059053062319517
8,0.007,0.6705502950578572,0.32718944008169126,0.060304084935243474
9,0.008,0.6778327312578716,0.33438405280282846,0.05979685838120244
10,0.009,0.6670607672380806,0.3336807012731917,0.06006409889138477
11,0.01,0.6587351623905755,0.3266380380638602,0.06043882345734784
12,0.011,0.6653078554148284,0.3294531469151405,0.06007133196947871
13,0.012,0.6676635903166157,0.3306645349267013,0.05971041442733382
14,0.013,0.6594802612690451,0.32437604273633847,0.059888987762634
15,0.014,0.655621694234175,0.32080439973794317,0.0596867820270694
16,0.015,0.6543144497493489,0.3280683334224954,0.059318687723407815
17,0.016,0.6513891342272178,0.32837104296356867,0.05937112250212731
18,0.017,0.6327129797326373,0.31674841060434256,0.06026723893170251
19,0.018,0.6778207486661182,0.3363740867601738,0.057593586317385634
20,0.019,0.656888401768442,0.32514241208309397,0.05816457806001517
21,0.02,0.6699406420753136,0.33741922882208364,0.05721612080365274
22,0.021,0.650174612374812,0.3282194715024737,0.05769441595989843
23,0.022,0.6667517490222166,0.3342801037973347,0.05663117308164612
24,0.023,0.6558088917170537,0.3318322788635022,0.056665187456450994
25,0.024,0.6716396292866371,0.33973278408159546,0.05550673423195845
26,0.025,0.6834960818424621,0.34674325326039757,0.05483285233981973
27,0.026,0.6672681434629977,0.3392973414262621,0.05488786903141609
28,0.027,0.6385566031607708,0.32276436749329535,0.055884430984843705
29,0.028,0.6681520661833376,0.34309243375308607,0.05396523632057042
30,0.029,0.6525180589689541,0.33220502679576386,0.054186865898179115
31,0.03,0.6445229393911696,0.33015163420488214,0.05424809150154982
32,0.031,0.6316260769442943,0.3324941949547979,0.05395630692050852
33,0.032,0.6648316182227888,0.3438112070233175,0.052285899229506015
34,0.033,0.6675536671959552,0.3450947236177911,0.05160270816147103
35,0.034,0.6373477037840595,0.3372828346095161,0.05227107124465254
36,0.035,0.6514760866569587,0.3383781047563108,0.05135812674009128
